OLD Block Name,Combined Shape Name,Converted On,Status,NOTES
SZDecocntGasGrillClosed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntGasGrillOpen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntMicrowaveOvenVer1Closed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntMicrowaveOvenVer1Open,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntMicrowaveOvenVer2Closed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntMicrowaveOvenVer2Open,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntwallOvenEmptyBlack,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntwallOvenEmptyGrey,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntwallOvenEmptyWhite,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntwallOvenFullBlack,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntwallOvenFullGrey,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntwallOvenFullWhite,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntStoveModernVer1Closed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntStoveModernVer2Open,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntStoveOldVer1Closed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntStoveOldVer2Open,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDishwasherEmptyBlack,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDishwasherEmptyGreen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDishwasherEmptyWhite,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDishwasherEmptyYellow,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDishwasherFullBlack,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDishwasherFullGreen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDishwasherFullWhite,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDishwasherFullYellow,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecodecoWineBottle,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecodecoWineBottleCorner,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecodecoWineBottlePile01,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecodecoWineBottlePile02,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecodecoWineBottleShelfRow,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecowineBarrel,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecowineBarrelPlain,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecowineBarrelSet,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntMiniBeverageCooler,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntMiniBeverageCoolerEmpty,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntMiniBeverageCoolerUnderCounter,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntMiniBeverageCoolerUnderCounterEmpty,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntCoolerClosedGreen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntCoolerClosedRed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntCoolerOpenGreen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntCoolerOpenRed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntWaterCoolerBottle,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntWaterCoolerBottleSideCentered,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntWaterCoolerFull,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntWaterCoolerFullSideCentered,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntFridgeStainlessSteel,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntFridgeStainlessSteelVer2Open,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntRetroFridgeVer1Closed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntRetroFridgeVer2Open,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntMedicineCabinetFaucetClosed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntMedicineCabinetFaucetOpen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntMedicineCabinetClosed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntMedicineCabinetOpen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntToilet01,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntToilet02,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntToilet03,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecourinalCommercialMounted,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecodecoClawFootBathTub,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBathTubEmpty,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBathTubGore,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDryerClosed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDryerOpen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntWasherClosed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntWasherIndustrialClosed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntWasherIndustrialOpen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntWasherIndustrialTipped,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntWasherOpen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbasketLaundryEmptyBlack,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbasketLaundryEmptyBlue,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbasketLaundryEmptyBrown,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbasketLaundryEmptyGreen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbasketLaundryEmptyGrey,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbasketLaundryEmptyOrange,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbasketLaundryEmptyRed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbasketLaundryEmptyWhite,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbasketLaundryEmptyYellow,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbasketLaundryFullBlack,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbasketLaundryFullBlue,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbasketLaundryFullBrown,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbasketLaundryFullGreen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbasketLaundryFullGrey,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbasketLaundryFullOrange,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbasketLaundryFullRed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbasketLaundryFullWhite,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbasketLaundryFullYellow,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecolaundryCartEmpty,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecolaundryCartFull,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecolaundryLoose,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecolaundryPileLong,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecolaundryPileTall,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntNightstandClosed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntNightstandOpen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntNightstandWallClosed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntNightstandWallOpen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntArmoireDrawerFullBlack,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntArmoireDrawerFullBlue,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntArmoireDrawerFullBrown,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntArmoireDrawerFullGreen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntArmoireDrawerFullGrey,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntArmoireDrawerFullOrange,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntArmoireDrawerFullPink,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntArmoireDrawerFullPurple,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntArmoireDrawerFullRed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntArmoireDrawerFullWhite,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntArmoireDrawerFullYellow,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalEmptyArmyGreen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalEmptyBlack,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalEmptyBlue,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalEmptyBrown,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalEmptyGreen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalEmptyGrey,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalEmptyOrange,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalEmptyPink,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalEmptyPurple,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalEmptyRed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalEmptyWhite,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalEmptyYellow,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalFullArmyGreen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalFullBlack,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalFullBlue,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalFullBrown,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalFullGreen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalFullGrey,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalFullOrange,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalFullPink,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalFullPurple,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalFullRed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalFullWhite,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskMetalFullYellow,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskWoodEmpty,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDeskWoodFull,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntModularClosetClosed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntModularClosetClosedBlue,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntModularClosetClosedBrown,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntModularClosetClosedGreen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecotankPropaneBlue,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecotankPropaneBrown,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecotankPropaneGreen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecotankPropaneGrey,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecotankPropaneOrange,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecotankPropanePink,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecotankPropaneRed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecotankPropaneWhite,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecotankPropaneYellow,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashMetalEmptyWhite,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashMetalFullWhite,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashPlasticEmptyBlack,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashPlasticEmptyBlue,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashPlasticEmptyBrown,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashPlasticEmptyGreen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashPlasticEmptyGrey,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashPlasticEmptyOrange,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashPlasticEmptyPink,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashPlasticEmptyPurple,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashPlasticEmptyRed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashPlasticEmptyWhite,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashPlasticEmptyYellow,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashPlasticFullBlack,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashPlasticFullBlue,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashPlasticFullBrown,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashPlasticFullGreen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashPlasticFullGrey,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashPlasticFullOrange,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashPlasticFullPink,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashPlasticFullPurple,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashPlasticFullRed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashPlasticFullWhite,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBinTrashPlasticFullYellow,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbinTrashRollingBlue,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbinTrashRollingBrown,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbinTrashRollingGreen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbinTrashRollingGrey,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbinTrashRollingOrange,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbinTrashRollingRed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbinTrashRollingWhite,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntbinTrashRollingYellow,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBruteStyleTrashCanEmpty,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBruteStyleTrashCanFull,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDomedTrashCanCornerEmpty,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDomedTrashCanCornerFull,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDomedTrashCanEmpty,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDomedTrashCanFull,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDumpster,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDumpsterBlue,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDumpsterBrown,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDumpsterFlies,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDumpsterFliesBlue,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDumpsterFliesBrown,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDumpsterFliesGrey,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDumpsterGrey,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntFancyGarbageCan,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntTrashBinCommercialBlack,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntTrashBinCommercialBlue,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntTrashBinCommercialBrown,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntTrashBinCommercialGreen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntTrashBinCommercialGrey,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntTrashBinCommercialOrange,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntTrashBinCommercialPurple,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntTrashBinCommercialRed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntTrashBinCommercialWhite,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntTrashBinCommercialYellow,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecodecoPoolTable,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecodecoPoolTableBlue,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecodecoReptileTerrarium,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecodecoClassicDogHouse,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecodecoLargePetCage,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntTroughPigEmpty,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntTroughPigFull,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntCardboardBox,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntGarageStorage,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntShippingCrateBookstore,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntShippingCrateCarParts,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntShippingCrateHero,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntShippingCrateLabEquipment,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntShippingCrateMoPowerElectronics,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntShippingCrateSavageCountry,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntShippingCrateShamway,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntShippingCrateShotgunMessiah,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntShippingCrateWorkingStiffs,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntWoodenChestClosed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntWoodenChestOpen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntOldWestChestClosed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntOldWestChestOpen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntWoodenChestMilitaryClosed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntWoodenChestMilitaryOpen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBuriedFoodStashChest,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBuriedLootStashChest,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBuriedWeaponChest,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntIntroBuriedFoodChest,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntLootChestHero,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntMunitionsBoxArmy,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntMunitionsBoxBlue,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntMunitionsBoxGreen,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntMunitionsBoxOrange,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntMunitionsBoxRed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntHardenedChestSecure,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntHardenedChestSecureT5,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntPurse01,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntFetchQuestSatchel,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBackpack01,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBackpack03,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntDuffle01,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntSportsBag01,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntSportsBag01Blue,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntSportsBag01Green,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntSportsBag01Orange,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntSportsBag01Pink,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntSportsBag01Purple,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntSportsBag01Red,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntSportsBag01Yellow,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntSportsBag02,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntSportsBag02Blue,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntSportsBag02Brown,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntSportsBag02Green,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntSportsBag02Orange,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntSportsBag02Pink,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntSportsBag02Purple,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntSportsBag02Red,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntSportsBag02Yellow,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookPile01,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookPile02,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookPile03,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookPile04,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookPile05,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookPile06,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookPile07,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookPile08,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookPile09,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookPile10,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookPile11,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookPile12,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookPile13,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookPile14,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookPile15,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookShelfSingleBottomEmpty,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookShelfSingleBottomFull01,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookShelfSingleBottomFull02,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookShelfSingleTopEmpty,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookShelfSingleTopFull01,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookShelfSingleTopFull02,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookShelfDoubleBottomEmpty,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookShelfDoubleBottomFull01,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookShelfDoubleBottomFull02,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookShelfDoubleTopEmpty,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookShelfDoubleTopFull01,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookShelfDoubleTopFull02,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookShelfSingleCapBottomEmpty,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookShelfSingleCapBottomFull01,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookShelfSingleCapBottomFull02,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntBookShelfSingleCapTopEmpty,air,Alpha.21.0.281,Replaced,Exploit Prevention
